P07478,Q9P0K1,Q9P0K1,Q9Y639
-2.1638,-2.6771,-2.6771,-0.9395
-0.9195,-3.0764,-3.0764,-0.9847
0.6275,-3.4778,-3.4778,-1.4976
-0.8815,-4.0319,-4.0319,-1.2781
-1.9467,-2.617,-2.617,-0.5371
0.2283,-1.7922,-1.7922,-0.2387
-1.525,-2.6727,-2.6727,-0.9615
-0.4985,-1.3355,-1.3355,-0.2579
0.8416,-1.9748,-1.9748,-1.4873
-0.7352,-2.4211,-2.4211,-1.2824
-1.121,-2.7636,-2.7636,-1.6847
-1.6081,-1.8738,-1.8738,-1.5444
0.3835,-0.8014,-0.8014,-0.5658
-0.8654,-2.5768,-2.5768,0.6809
-1.9249,-3.3947,-3.3947,-1.0944
0.2632,-2.5106,-2.5106,-0.5137
0.5424,-2.65,-2.65,-0.463
1.2367,-0.1908,-0.1908,-0.2487
-1.4786,-2.9121,-2.9121,-1.5156
-1.7093,-3.1496,-3.1496,-0.8136
-0.898,-3.6427,-3.6427,-1.2894
-1.1797,-3.9598,-3.9598,-0.0084
-0.7546,-2.2777,-2.2777,-0.2694
-0.2769,-2.148,-2.148,-0.8631
-1.2547,-2.6285,-2.6285,3.123
-1.563,-3.2048,-3.2048,-1.4452
-0.9317,-2.9045,-2.9045,-1.3365
-1.7643,-2.9121,-2.9121,-1.3448
0.7034,-1.8551,-1.8551,-1.1051
-1.5042,-2.9441,-2.9441,-1.1549
-1.25,-2.9931,-2.9931,-1.6916
-0.6053,-3.2445,-3.2445,-1.0202
-1.2696,-2.6367,-2.6367,-0.6347
2.171,-1.389,-1.389,-0.3086
0.1809,-1.9332,-1.9332,-0.9149
-0.3633,-3.0927,-3.0927,-0.5617
-0.0404,-2.2465,-2.2465,0.5241
-1.1507,-3.8521,-3.8521,-1.2485
-0.394,-3.0889,-3.0889,-1.0211
-1.2993,-2.2286,-2.2286,-1.4556
-0.7952,-2.3918,-2.3918,0.1277
-0.6978,-1.3436,-1.3436,-0.7617
-0.2351,-2.9978,-2.9978,-1.4217
0.66,-3.0074,-3.0074,-1.2615
-0.3932,-2.5973,-2.5973,-1.5974
-1.2565,-3.4845,-3.4845,-0.9857
-0.1818,-2.76,-2.76,-0.8003
-1.461,-3.6291,-3.6291,-0.33
-1.2215,-2.8262,-2.8262,-1.48
0.1118,-2.7972,-2.7972,-0.3724
-0.7961,-1.8537,-1.8537,-0.6525
-0.8924,-3.003,-3.003,-1.5675
-1.6693,-2.1808,-2.1808,-0.1057
-1.93,-3.3698,-3.3698,-1.4154
-1.0482,-3.6803,-3.6803,-0.3933
-0.3213,-4.0054,-4.0054,-1.0713
-1.8131,-2.4045,-2.4045,0.8991
-0.36,-1.0343,-1.0343,-0.0041
-0.849,-3.7411,-3.7411,-1.1829
0.1519,-2.71,-2.71,-1.6252
1.1731,-2.0282,-2.0282,-0.7428
-0.3938,-2.974,-2.974,-0.171
-0.9358,-3.1,-3.1,-0.9891
-1.7911,-3.4418,-3.4418,-1.2567
-0.7074,-1.975,-1.975,-0.7033
0.0323,-3.5959,-3.5959,0.6101
-0.326,-2.9809,-2.9809,-0.3959
0.4745,-1.5946,-1.5946,-1.6527
-2.0788,-3.4227,-3.4227,-1.3406
-0.6989,-3.2092,-3.2092,-0.6978
-1.2758,-2.4324,-2.4324,-1.4803
-0.8644,-3.7077,-3.7077,-1.2223
1.2523,-1.3728,-1.3728,1.4546
-0.891,-2.772,-2.772,-1.4594
-1.9242,-3.4116,-3.4116,-0.7126
-1.3912,-3.2996,-3.2996,-1.4006
