,P07585,P08833,P14136,P16234,P52823,P55259,Q9P0M4,Q9Y653,Class Label
0,-2.8297,-2.517,-0.7651,-2.2049,-1.5906,-1.9518,-1.8066,-2.686,0
1,-2.1921,-3.0414,-1.6108,-1.7358,0.129,-1.5554,-2.127,-2.9263,0
2,-1.8498,-3.6948,-0.977,-1.4122,0.2898,-2.0926,-0.6538,-2.2744,0
3,-2.1312,-3.0438,-1.1503,-1.762,0.7255,-1.4699,-2.604,-1.5901,0
4,-2.2969,-4.8105,-1.1478,-1.9415,-1.4633,-1.0608,-1.8342,-2.0379,0
5,-0.5664,-4.5607,0.158,-1.3187,-0.7232,-0.8851,-0.5331,-0.3322,0
6,-2.6399,-3.2461,-1.62,-1.6701,-1.6887,-1.3811,-1.5658,-0.0394,0
7,-1.5108,2.4906,-0.7732,-0.086,0.7795,2.121,0.2298,-1.6884,0
8,-1.102,0.2895,-1.1913,-0.1094,0.6759,-1.7817,-0.5346,0.4885,0
9,-1.9825,-0.7683,0.0404,-1.2394,-1.3683,-0.9264,-1.4281,-2.634,0
10,-3.2476,-4.2622,-0.6708,-2.3238,-1.821,-0.7049,-2.0576,-2.3418,0
11,-1.1246,-1.1757,-0.898,-1.5621,-1.503,-0.0926,-1.2532,-0.3552,0
12,-1.6282,1.3136,0.7451,-1.2856,-0.1548,0.5265,-0.2798,0.811,0
13,-1.5713,-0.7199,-0.4953,-1.5589,-1.1618,-1.9932,-1.1169,-1.2235,0
14,-1.4895,-1.1704,-0.5176,-1.3598,-1.2996,-2.0117,-0.8708,0.7409,0
15,-1.3794,-0.4567,0.126,-1.0492,-0.3299,-0.819,-0.7308,0.3453,0
16,-0.9838,0.1958,0.381,-1.3739,-0.0348,-0.2763,0.2867,0.7563,0
17,-0.3317,-1.6845,0.0492,-0.8738,-0.2383,-0.431,1.6519,-0.4875,0
18,-2.1057,-0.9437,-1.2867,-1.7676,-1.1442,0.1909,-1.2732,-2.3941,0
19,-2.4795,-0.2287,-1.6155,-2.0664,-0.5193,-2.35,-0.9941,-2.5527,0
20,-1.5091,0.8399,-1.5578,-0.8444,0.0619,-1.8753,-0.8581,-1.3806,0
21,-2.3644,-2.7426,-1.1081,-1.6401,0.1803,-2.3148,-1.4254,-1.4878,0
22,-2.3466,-1.9215,-1.0901,-2.0383,-1.6136,-2.3094,-0.2189,-2.624,0
23,0.0937,2.2202,0.6488,-0.9047,0.6345,-1.4042,0.0949,0.92,0
24,-1.7024,-0.2504,-1.3862,-0.9625,-1.5525,-1.6687,-1.7853,-2.2089,0
25,-1.5109,0.3436,0.6477,-1.6073,-0.7555,-1.3765,-0.8594,-0.3697,0
26,-1.5737,-3.5069,-1.3534,-1.734,-0.647,-1.5292,-1.771,-1.9856,0
27,-2.6665,-3.3602,-0.9432,-1.5413,-2.0554,-1.1191,-2.1403,-2.6657,0
28,-1.4197,-1.5213,-0.6794,-0.7608,-0.3761,2.0859,-0.4286,0.724,0
29,-2.0886,-0.7143,-1.2513,-1.3886,-0.1605,-2.0896,-1.2526,-1.4142,0
30,-2.2409,-1.944,0.0029,-1.1928,-1.7484,-0.8248,-0.4277,-0.9516,0
31,-1.5405,-0.9791,0.7021,-1.3761,-0.0687,-0.9085,-0.7159,-2.3992,0
32,-2.3771,-3.462,-1.1469,-1.9013,-1.0272,-1.6479,0.4643,-2.6264,0
33,1.1527,2.3017,2.6116,0.241,2.3746,1.2906,3.5425,-0.1208,0
34,-0.4917,0.8256,-0.5953,-0.8158,0.2761,-0.9761,-0.7792,-0.1469,0
35,-2.5431,-4.2872,-1.05,-1.4551,-0.1039,-1.4451,-1.1333,-2.6336,0
36,-1.2278,1.4447,-0.1869,-0.8543,0.7707,-0.8346,-1.4618,2.2021,0
37,-2.7471,-1.1537,-0.2844,-2.0024,-1.5643,-1.0459,-2.3139,-2.5304,0
38,-2.1643,-2.5117,-1.0904,-2.1127,-1.5174,-0.7601,-1.0883,-2.0457,0
39,-0.2834,-2.0039,-0.6277,-1.506,-0.3686,-1.0227,-0.5944,1.239,0
40,-1.377,2.6312,-0.007,-1.4353,0.3586,1.8285,-0.7155,2.2478,0
41,-0.6947,0.1573,0.1802,-0.7298,0.4423,-0.1938,-0.7795,-1.1646,0
42,-1.878,0.0564,-0.3151,-1.816,-0.541,-1.6665,-0.3355,-2.3599,0
43,-2.1022,1.3091,-1.8937,-1.1331,-0.9577,3.2841,-0.5911,0.6887,0
44,-2.1164,-2.2801,-1.4149,-1.8524,-0.731,0.9123,-1.9261,-0.7227,0
45,-1.9789,-3.3232,-0.3656,-2.0191,-0.4975,-0.9035,-2.1152,-1.7442,0
46,-2.2829,-1.7548,-1.6338,-1.6141,-1.5182,-1.6465,-0.1163,-2.1267,0
47,-2.0479,-0.8914,-1.3531,-1.5771,-0.6145,-0.3812,-1.2834,-2.9592,0
