,O15232,O60635,P07585,P08727,P08833,P14136,P16234,P52823,P55259,Q9P0M4,Q9Y653,Class Label
0,-1.6001,-0.5249,-2.8297,-1.8014,-2.517,-0.7651,-2.2049,-1.5906,-1.9518,-1.8066,-2.686,0
1,-1.4782,-0.466,-2.1921,-1.6734,-3.0414,-1.6108,-1.7358,0.129,-1.5554,-2.127,-2.9263,0
2,0.0675,-0.6516,-1.8498,-0.8894,-3.6948,-0.977,-1.4122,0.2898,-2.0926,-0.6538,-2.2744,0
3,-0.4242,-0.5478,-2.1312,0.6776,-3.0438,-1.1503,-1.762,0.7255,-1.4699,-2.604,-1.5901,0
4,-1.4399,-0.3659,-2.2969,-2.5475,-4.8105,-1.1478,-1.9415,-1.4633,-1.0608,-1.8342,-2.0379,0
5,-1.3603,-0.0694,-0.5664,-1.3331,-4.5607,0.158,-1.3187,-0.7232,-0.8851,-0.5331,-0.3322,0
6,-2.3461,1.3093,-2.6399,-1.9356,-3.2461,-1.62,-1.6701,-1.6887,-1.3811,-1.5658,-0.0394,0
7,-0.7602,-0.3254,-1.5108,0.712,2.4906,-0.7732,-0.086,0.7795,2.121,0.2298,-1.6884,0
8,-0.9716,-0.243,-1.102,1.8979,0.2895,-1.1913,-0.1094,0.6759,-1.7817,-0.5346,0.4885,0
9,-1.0063,-0.4512,-1.9825,-1.4018,-0.7683,0.0404,-1.2394,-1.3683,-0.9264,-1.4281,-2.634,0
10,-2.5039,-0.5319,-3.2476,-2.2409,-4.2622,-0.6708,-2.3238,-1.821,-0.7049,-2.0576,-2.3418,0
11,-2.223,0.4001,-1.1246,-0.9515,-1.1757,-0.898,-1.5621,-1.503,-0.0926,-1.2532,-0.3552,0
12,-0.5803,-0.5338,-1.6282,-0.9688,1.3136,0.7451,-1.2856,-0.1548,0.5265,-0.2798,0.811,0
13,-1.3324,-0.154,-1.5713,-0.9121,-0.7199,-0.4953,-1.5589,-1.1618,-1.9932,-1.1169,-1.2235,0
