Q9Y653,Q9P0M4,P07585,P16234,P52823,P14136,P08833,P55259,O60635,P19429,Class Label
-2.686,-1.8066,-2.8297,-2.2049,-1.5906,-0.7651,-2.517,-1.9518,-0.5249,-4.1338,0
-2.9263,-2.127,-2.1921,-1.7358,0.129,-1.6108,-3.0414,-1.5554,-0.466,-2.6296,0
-2.2744,-0.6538,-1.8498,-1.4122,0.2898,-0.977,-3.6948,-2.0926,-0.6516,-2.6118,0
-1.5901,-2.604,-2.1312,-1.762,0.7255,-1.1503,-3.0438,-1.4699,-0.5478,-4.136,0
-2.0379,-1.8342,-2.2969,-1.9415,-1.4633,-1.1478,-4.8105,-1.0608,-0.3659,-2.7267,0
-0.3322,-0.5331,-0.5664,-1.3187,-0.7232,0.158,-4.5607,-0.8851,-0.0694,-2.6296,0
-0.0394,-1.5658,-2.6399,-1.6701,-1.6887,-1.62,-3.2461,-1.3811,1.3093,-2.9143,0
-1.6884,0.2298,-1.5108,-0.086,0.7795,-0.7732,2.4906,2.121,-0.3254,-2.8797,0
0.4885,-0.5346,-1.102,-0.1094,0.6759,-1.1913,0.2895,-1.7817,-0.243,1.4871,0
-2.634,-1.4281,-1.9825,-1.2394,-1.3683,0.0404,-0.7683,-0.9264,-0.4512,-2.7639,0
-2.3418,-2.0576,-3.2476,-2.3238,-1.821,-0.6708,-4.2622,-0.7049,-0.5319,-3.3822,0
-0.3552,-1.2532,-1.1246,-1.5621,-1.503,-0.898,-1.1757,-0.0926,0.4001,-2.6022,0
0.811,-0.2798,-1.6282,-1.2856,-0.1548,0.7451,1.3136,0.5265,-0.5338,0.1319,0
-1.2235,-1.1169,-1.5713,-1.5589,-1.1618,-0.4953,-0.7199,-1.9932,-0.154,-3.335,0
0.7409,-0.8708,-1.4895,-1.3598,-1.2996,-0.5176,-1.1704,-2.0117,-0.6865,-2.4864,0
0.3453,-0.7308,-1.3794,-1.0492,-0.3299,0.126,-0.4567,-0.819,-0.5761,-0.2009,0
0.7563,0.2867,-0.9838,-1.3739,-0.0348,0.381,0.1958,-0.2763,-0.3698,-2.5828,0
-0.4875,1.6519,-0.3317,-0.8738,-0.2383,0.0492,-1.6845,-0.431,-0.3803,-2.3497,0
-2.3941,-1.2732,-2.1057,-1.7676,-1.1442,-1.2867,-0.9437,0.1909,-0.5298,-2.4995,0
-2.5527,-0.9941,-2.4795,-2.0664,-0.5193,-1.6155,-0.2287,-2.35,0.0557,-3.6085,0
-1.3806,-0.8581,-1.5091,-0.8444,0.0619,-1.5578,0.8399,-1.8753,-0.5123,-3.3278,0
-1.4878,-1.4254,-2.3644,-1.6401,0.1803,-1.1081,-2.7426,-2.3148,-0.7125,-2.8816,0
-2.624,-0.2189,-2.3466,-2.0383,-1.6136,-1.0901,-1.9215,-2.3094,-0.3379,-2.748,0
0.92,0.0949,0.0937,-0.9047,0.6345,0.6488,2.2202,-1.4042,-0.4488,-2.6625,0
-2.2089,-1.7853,-1.7024,-0.9625,-1.5525,-1.3862,-0.2504,-1.6687,-0.5921,-3.429,0
-0.3697,-0.8594,-1.5109,-1.6073,-0.7555,0.6477,0.3436,-1.3765,-0.4203,-2.3944,0
-1.9856,-1.771,-1.5737,-1.734,-0.647,-1.3534,-3.5069,-1.5292,-0.4407,-3.7616,0
-2.6657,-2.1403,-2.6665,-1.5413,-2.0554,-0.9432,-3.3602,-1.1191,-0.5005,-2.8639,0
0.724,-0.4286,-1.4197,-0.7608,-0.3761,-0.6794,-1.5213,2.0859,-0.4692,-3.4948,0
-1.4142,-1.2526,-2.0886,-1.3886,-0.1605,-1.2513,-0.7143,-2.0896,-0.5418,-2.2861,0
-0.9516,-0.4277,-2.2409,-1.1928,-1.7484,0.0029,-1.944,-0.8248,-0.4103,0.8171,0
