alpha,maxiter,tol,Training Accuracy,Testing Accuracy,Runs 
0.1,10000,0.0001,97.45,97.1,1
0.09,10000,0.0001,98.54,97.1,2
0.07,10000,0.0001,98.54,89.85,3
0.05,10000,0.0001,98.18,91.3,4
0.04,10000,0.0001,98.18,89.85,5
0.005,10000,0.0001,97.45,88.4,6
0.06,10000,0.0001,98.18,94.2,7
0.01,10000,0.0001,97.45,91.3,8
0.001,10000,0.0001,98.18,88.4,9
0.00099,100,0.0001,98.18,88.405,10
0.02,1000,0.0001,97.81,94.202,11
0.03,1000,0.0001,97.81,94.202,12
0.08,1500,0.0001,98.54,91.304,13
0.1,2000,0.0001,97.45,97.101,14
0.1,5000,0.0001,97.45,97.101,15
0.1,5500,0.0001,97.45,97.101,16
0.1,9000,0.0001,97.45,97.101,17
0.1,10000,0.01,97.45,97.101,18
0.1,10000,0.02,97.45,97.101,19
0.1,10000,0.0001,97.45,97.101,20
