,O15232,O60635,P00750,P08727,P08833,P14136,P16234,P18627,P19429,P21246,P52823,P55259,Q8IU54,Q96JP9,Q9P0M4,Q9Y653,Class Label
0,-1.6001,-0.5249,-1.6927,-1.8014,-2.517,-0.7651,-2.2049,-1.101,-4.1338,-1.8036,-1.5906,-1.9518,0.7865,-1.4141,-1.8066,-2.686,0
1,-1.4782,-0.466,-1.8249,-1.6734,-3.0414,-1.6108,-1.7358,-0.4854,-2.6296,-0.4288,0.129,-1.5554,0.5258,-1.5057,-2.127,-2.9263,0
2,0.0675,-0.6516,-0.6092,-0.8894,-3.6948,-0.977,-1.4122,0.3179,-2.6118,-0.5832,0.2898,-2.0926,1.9631,-1.7772,-0.6538,-2.2744,0
3,-0.4242,-0.5478,-1.4468,0.6776,-3.0438,-1.1503,-1.762,-0.8096,-4.136,-0.9649,0.7255,-1.4699,5.3879,-2.0033,-2.604,-1.5901,0
4,-1.4399,-0.3659,-3.2922,-2.5475,-4.8105,-1.1478,-1.9415,-1.7919,-2.7267,-1.9875,-1.4633,-1.0608,-0.2703,-1.3893,-1.8342,-2.0379,0
5,-1.3603,-0.0694,-1.8693,-1.3331,-4.5607,0.158,-1.3187,-0.4112,-2.6296,0.2136,-0.7232,-0.8851,-0.6551,-1.6386,-0.5331,-0.3322,0
6,-2.3461,1.3093,-1.8025,-1.9356,-3.2461,-1.62,-1.6701,-2.2442,-2.9143,-1.4167,-1.6887,-1.3811,-0.3644,-1.6321,-1.5658,-0.0394,0
7,-0.7602,-0.3254,1.0295,0.712,2.4906,-0.7732,-0.086,2.6966,-2.8797,-0.8177,0.7795,2.121,-0.1198,-1.728,0.2298,-1.6884,0
8,-0.9716,-0.243,-0.3431,1.8979,0.2895,-1.1913,-0.1094,0.9551,1.4871,0.3267,0.6759,-1.7817,3.0198,-1.506,-0.5346,0.4885,0
9,-1.0063,-0.4512,-2.5345,-1.4018,-0.7683,0.0404,-1.2394,0.0543,-2.7639,-1.3481,-1.3683,-0.9264,-0.0593,-1.9087,-1.4281,-2.634,0
10,-2.5039,-0.5319,-2.2734,-2.2409,-4.2622,-0.6708,-2.3238,-0.9891,-3.3822,-1.8392,-1.821,-0.7049,-0.5778,-1.9575,-2.0576,-2.3418,0
11,-2.223,0.4001,-2.6356,-0.9515,-1.1757,-0.898,-1.5621,0.4226,-2.6022,1.111,-1.503,-0.0926,-0.1396,-1.7447,-1.2532,-0.3552,0
12,-0.5803,-0.5338,-0.4056,-0.9688,1.3136,0.7451,-1.2856,-0.6937,0.1319,-0.9196,-0.1548,0.5265,-0.4241,-1.8238,-0.2798,0.811,0
