,A1E959,O00626,O14793,O43895,O60240,O60635,O95994,P01591,P05783,P07585,P08727,P10721,P14136,P14210,P18627,P19429,P24387,P29017,P35225,P42785,P43629,P51531,P52823,P55259,Q8IU54,Q8TD06,Q92820,Q969V3,Q96JP9,Q96NZ8,Q99748,Q9BXJ7,Q9NZV1,Q9P0M4,Q9UGM5,Q9UHF4,Q9Y3P8,Q9Y653
0,-0.4919,-0.8815,-2.5061,-1.5365,0.012,-0.5249,-2.3982,-1.0015,-1.9594,-2.8297,-1.8014,-1.667,-0.7651,-2.0156,-1.101,-4.1338,-3.1045,-1.9462,-0.9693,-2.7902,-2.1941,-1.062,-1.5906,-1.9518,0.7865,-1.8488,-1.7076,-0.3807,-1.4141,-2.2164,0.042,-0.6351,-2.2031,-1.8066,-1.9304,-0.4619,0.7353,-2.686
1,-0.4128,-0.6968,-2.1944,-2.5725,-0.4825,-0.466,-0.728,-1.6932,-3.8246,-2.1921,-1.6734,-2.1616,-1.6108,-1.6518,-0.4854,-2.6296,-2.9702,-2.4442,-0.2981,-2.4255,-2.5694,-0.8913,0.129,-1.5554,0.5258,-0.419,-0.9491,-0.1009,-1.5057,-1.5408,0.2893,-0.5186,-2.0296,-2.127,-1.92,-0.8532,1.2057,-2.9263
2,-0.1184,-0.8849,-1.5425,-1.2906,0.3639,-0.6516,-2.6542,-2.5039,-1.0393,-1.8498,-0.8894,-1.9027,-0.977,-0.3632,0.3179,-2.6118,-2.1134,-2.569,-1.0832,-2.3555,-3.1799,0.1187,0.2898,-2.0926,1.9631,-1.5496,-0.9651,-0.5797,-1.7772,-2.1449,-0.5844,-1.031,-0.5615,-0.6538,-1.2569,-0.1494,0.615,-2.2744
3,2.3431,-0.3221,-1.1607,-1.9994,2.0322,-0.5478,2.0099,-2.017,-1.8798,-2.1312,0.6776,-2.331,-1.1503,-0.5929,-0.8096,-4.136,-2.3749,-2.4908,-0.8039,-2.44,-1.6098,0.1937,0.7255,-1.4699,5.3879,0.0974,-1.0308,-0.5835,-2.0033,-2.298,-0.4232,-0.8988,-1.1429,-2.604,-1.5945,-1.0347,0.3656,-1.5901
4,-0.4058,-0.8771,-2.1913,-4.1595,-0.253,-0.3659,-2.9613,-1.3091,-4.4647,-2.2969,-2.5475,-1.5818,-1.1478,-1.516,-1.7919,-2.7267,-2.7755,-1.7462,-0.5122,-1.8879,-1.8004,0.0357,-1.4633,-1.0608,-0.2703,-1.0235,-1.5666,-0.6878,-1.3893,-1.1996,-0.9146,-1.1599,-1.9053,-1.8342,-1.5268,-1.0991,1.5398,-2.0379
5,-0.148,-1.0595,-2.1516,-2.6654,0.0586,-0.0694,-0.4203,-0.8828,-2.3926,-0.5664,-1.3331,-1.9844,0.158,0.2717,-0.4112,-2.6296,-2.4796,-2.5021,-0.3948,-2.0681,-2.0495,0.0821,-0.7232,-0.8851,-0.6551,-1.4146,-1.5768,-0.239,-1.6386,-1.9743,0.6024,-0.8315,-0.8582,-0.5331,-2.2083,-0.3315,0.4885,-0.3322
6,-0.5999,-1.1515,-1.9252,-3.9254,0.0066,1.3093,-1.7982,-2.5832,-3.8813,-2.6399,-1.9356,-2.8562,-1.62,-1.1946,-2.2442,-2.9143,-2.0863,-2.1308,-0.8846,-2.0825,-2.2746,0.3508,-1.6887,-1.3811,-0.3644,-0.495,-1.0497,-0.3384,-1.6321,-1.9752,-0.1638,-0.6269,-1.8974,-1.5658,-1.5981,-1.2689,0.9365,-0.0394
7,-0.1516,-1.6573,-2.3376,-4.3395,0.2258,-0.3254,-1.6796,-0.1816,1.3528,-1.5108,0.712,-1.4595,-0.7732,-0.1582,2.6966,-2.8797,-3.9927,-1.668,-0.5802,-2.8211,0.1712,-0.2506,0.7795,2.121,-0.1198,-1.349,-2.9601,-0.4673,-1.728,-1.8262,0.1015,-0.6984,0.2688,0.2298,-2.7922,-0.6132,0.3413,-1.6884
8,-0.9853,-1.6348,-1.3186,-4.0168,0.9895,-0.243,1.7329,-1.9959,1.5739,-1.102,1.8979,-2.0256,-1.1913,-1.2557,0.9551,1.4871,-2.0964,-2.6092,-0.2454,-1.3413,-1.2568,-0.0938,0.6759,-1.7817,3.0198,1.3676,-1.077,-0.5377,-1.506,-2.2117,0.2214,0.7721,-0.3096,-0.5346,-2.3062,-0.3038,1.3769,0.4885
9,-0.8792,-0.3559,-2.9397,-3.9038,-0.6059,-0.4512,-0.9323,-1.5555,-2.7822,-1.9825,-1.4018,-2.1909,0.0404,-1.4665,0.0543,-2.7639,-2.6566,-2.161,-0.9293,-2.5166,-2.2846,-0.0338,-1.3683,-0.9264,-0.0593,-1.6537,-1.6567,-0.3601,-1.9087,-2.5027,-1.3271,-1.0424,-1.2251,-1.4281,-1.9228,-0.7026,0.3475,-2.634
10,-0.742,-1.1122,-2.746,-3.5392,-0.3006,-0.5319,-3.8347,-2.6583,-2.0288,-3.2476,-2.2409,-2.7784,-0.6708,-1.5304,-0.9891,-3.3822,-2.7896,-2.4082,-0.4666,-2.1479,-2.4791,-0.2256,-1.821,-0.7049,-0.5778,-1.7642,-2.3543,-0.3941,-1.9575,-1.492,-0.417,-1.1309,-2.0154,-2.0576,-2.7505,-1.0109,1.1619,-2.3418
11,-0.2767,-0.5711,-2.1619,-4.1486,0.0901,0.4001,-0.8276,-0.4122,-2.4245,-1.1246,-0.9515,-2.1469,-0.898,-0.6586,0.4226,-2.6022,-1.8153,-1.1575,-0.463,-1.7846,-2.8066,0.1743,-1.503,-0.0926,-0.1396,0.2276,-2.005,0.7419,-1.7447,-2.2208,-0.4569,-0.7662,-0.8546,-1.2532,-1.7782,-0.0912,0.8582,-0.3552
12,-0.4118,-0.6155,-2.4154,-3.1218,0.2104,-0.5338,-0.3466,-1.9817,-1.8288,-1.6282,-0.9688,-2.2306,0.7451,-0.8395,-0.6937,0.1319,-1.5223,-1.4503,-0.6179,-1.8507,-2.9834,0.2127,-0.1548,0.5265,-0.4241,-0.8582,-0.4903,-0.533,-1.8238,-2.4536,-0.4544,-0.9655,-0.383,-0.2798,-1.6966,0.9805,1.2539,0.811
