,A1E959,O60635,O95750,O95994,P00750,P01591,P08833,P14136,P14780,P19429,P19801,P21246,P43629,P52823,P55259,P60568,Q29980_Q29983,Q5JZY3,Q8IU54,Q96JP9,Q9P0M4,Q9Y265,Q9Y653
0,-0.4919,-0.5249,-1.8775,-2.3982,-1.6927,-1.0015,-2.517,-0.7651,-0.7843,-4.1338,-1.7536,-1.8036,-2.1941,-1.5906,-1.9518,-0.9865,-1.8085,-1.9878,0.7865,-1.4141,-1.8066,-0.4519,-2.686
1,-0.4128,-0.466,-1.7997,-0.728,-1.8249,-1.6932,-3.0414,-1.6108,-0.4786,-2.6296,-1.8696,-0.4288,-2.5694,0.129,-1.5554,0.2886,-4.8574,-1.8919,0.5258,-1.5057,-2.127,-0.7833,-2.9263
2,-0.1184,-0.6516,-1.1294,-2.6542,-0.6092,-2.5039,-3.6948,-0.977,0.912,-2.6118,-1.9534,-0.5832,-3.1799,0.2898,-2.0926,0.2656,-5.1423,-1.7727,1.9631,-1.7772,-0.6538,-1.3636,-2.2744
3,2.3431,-0.5478,-2.7763,2.0099,-1.4468,-2.017,-3.0438,-1.1503,0.1952,-4.136,-1.9406,-0.9649,-1.6098,0.7255,-1.4699,-0.3291,-2.9261,-0.3754,5.3879,-2.0033,-2.604,-1.4173,-1.5901
4,-0.4058,-0.3659,-2.9436,-2.9613,-3.2922,-1.3091,-4.8105,-1.1478,-0.039,-2.7267,-1.0957,-1.9875,-1.8004,-1.4633,-1.0608,-0.1237,-1.3043,-1.9543,-0.2703,-1.3893,-1.8342,-0.7161,-2.0379
5,-0.148,-0.0694,-0.8209,-0.4203,-1.8693,-0.8828,-4.5607,0.158,0.9571,-2.6296,-1.2829,0.2136,-2.0495,-0.7232,-0.8851,0.1021,-0.8722,-1.9735,-0.6551,-1.6386,-0.5331,-0.9765,-0.3322
6,-0.5999,1.3093,-2.5646,-1.7982,-1.8025,-2.5832,-3.2461,-1.62,-0.5757,-2.9143,-1.4889,-1.4167,-2.2746,-1.6887,-1.3811,-0.4945,-1.5565,-1.8598,-0.3644,-1.6321,-1.5658,-0.9951,-0.0394
7,-0.1516,-0.3254,-1.4428,-1.6796,1.0295,-0.1816,2.4906,-0.7732,-0.2868,-2.8797,-1.4805,-0.8177,0.1712,0.7795,2.121,0.2747,-0.7946,-1.4125,-0.1198,-1.728,0.2298,0.5386,-1.6884
8,-0.9853,-0.243,-2.6843,1.7329,-0.3431,-1.9959,0.2895,-1.1913,-2.1009,1.4871,-1.9629,0.3267,-1.2568,0.6759,-1.7817,-0.1978,-0.6264,-2.5302,3.0198,-1.506,-0.5346,-0.5338,0.4885
9,-0.8792,-0.4512,-1.8254,-0.9323,-2.5345,-1.5555,-0.7683,0.0404,-0.8116,-2.7639,-2.0067,-1.3481,-2.2846,-1.3683,-0.9264,0.3521,-2.6556,-2.1519,-0.0593,-1.9087,-1.4281,-0.4382,-2.634
