,A1E959,O00626,O14793,O43895,O60635,O95750,O95994,P01579,P01591,P03950,P05783,P07711,P10721,P14136,P14210,P15090,P15336,P17516,P18627,P19801,P21246,P24387,P28827,P30838,P31994,P35225,P35475,P42785,P43629,P51531,P52823,P55259,P58499,P60484,P78423,Q0Z7S8,Q13459,Q29980_Q29983,Q3KPI0,Q4LE39,Q6ISS4,Q7L8A9,Q7Z6M3,Q7Z7D3,Q8IU54,Q8TD06,Q8TD46,Q8WTT0,Q92820,Q92854,Q969V3,Q96DU3,Q96JP9,Q96NZ8,Q99748,Q9BXJ7,Q9NRA1,Q9NX58,Q9P0M4,Q9P232,Q9UGM5,Q9UHF4,Q9UK85,Q9Y286,Q9Y5W5,Q9Y639,Q9Y653
0,-0.4919,-0.8815,-2.5061,-1.5365,-0.5249,-1.8775,-2.3982,0.9385,-1.0015,-1.7798,-1.9594,-1.8331,-1.667,-0.7651,-2.0156,-0.9703,-0.3825,-0.2736,-1.101,-1.7536,-1.8036,-3.1045,-2.4639,-0.5737,-1.1458,-0.9693,-1.9553,-2.7902,-2.1941,-1.062,-1.5906,-1.9518,-2.5185,0.424,-1.3511,-1.4462,-0.0147,-1.8085,-1.0447,-0.05,-3.1431,0.4304,-2.2918,0.3641,0.7865,-1.8488,-2.5791,-0.3128,-1.7076,-1.9083,-0.3807,-0.3158,-1.4141,-2.2164,0.042,-0.6351,-1.3416,0.2314,-1.8066,-2.2834,-1.9304,-0.4619,-1.5383,-2.3708,-2.5205,-0.9395,-2.686
1,-0.4128,-0.6968,-2.1944,-2.5725,-0.466,-1.7997,-0.728,2.4159,-1.6932,-2.476,-3.8246,-1.9544,-2.1616,-1.6108,-1.6518,-2.7665,-0.1925,-0.3087,-0.4854,-1.8696,-0.4288,-2.9702,-2.0416,0.3584,-1.6073,-0.2981,-1.9059,-2.4255,-2.5694,-0.8913,0.129,-1.5554,-2.5977,-0.2942,-1.8724,-1.2797,0.4258,-4.8574,-1.5997,0.0945,-2.2739,0.3349,-0.905,0.4419,0.5258,-0.419,-2.2163,-2.2406,-0.9491,-1.7018,-0.1009,-0.4213,-1.5057,-1.5408,0.2893,-0.5186,-1.2977,0.6038,-2.127,-3.2073,-1.92,-0.8532,-2.0863,-2.1511,-2.0744,-0.9847,-2.9263
2,-0.1184,-0.8849,-1.5425,-1.2906,-0.6516,-1.1294,-2.6542,3.0753,-2.5039,-1.3492,-1.0393,-0.8216,-1.9027,-0.977,-0.3632,0.2487,0.1472,-0.1166,0.3179,-1.9534,-0.5832,-2.1134,-2.521,0.2885,-0.2732,-1.0832,-2.9064,-2.3555,-3.1799,0.1187,0.2898,-2.0926,-3.4392,-0.0275,-0.4966,-0.9943,-0.0124,-5.1423,-0.5027,0.1986,-2.5149,0.1789,-1.2221,0.0188,1.9631,-1.5496,-1.6425,-1.4133,-0.9651,-1.069,-0.5797,-0.383,-1.7772,-2.1449,-0.5844,-1.031,-1.3434,0.3302,-0.6538,-2.7553,-1.2569,-0.1494,-1.6766,-1.7278,-1.0752,-1.4976,-2.2744
3,2.3431,-0.3221,-1.1607,-1.9994,-0.5478,-2.7763,2.0099,1.9483,-2.017,-1.7471,-1.8798,-0.9346,-2.331,-1.1503,-0.5929,-2.5659,1.6867,-0.1864,-0.8096,-1.9406,-0.9649,-2.3749,-2.4449,-0.8616,-0.7077,-0.8039,-2.5158,-2.44,-1.6098,0.1937,0.7255,-1.4699,-2.6342,0.8351,-1.3624,-1.5598,-0.6252,-2.9261,-2.4124,-0.0877,-1.8523,0.2184,-1.1962,0.238,5.3879,0.0974,-1.4174,-1.463,-1.0308,-1.2827,-0.5835,0.1844,-2.0033,-2.298,-0.4232,-0.8988,-1.3818,0.4635,-2.604,-1.8252,-1.5945,-1.0347,-2.1599,-1.6677,-1.5189,-1.2781,-1.5901
4,-0.4058,-0.8771,-2.1913,-4.1595,-0.3659,-2.9436,-2.9613,-2.4916,-1.3091,-2.2407,-4.4647,-1.5232,-1.5818,-1.1478,-1.516,-2.1077,-0.5107,-0.4063,-1.7919,-1.0957,-1.9875,-2.7755,-1.7491,-0.6478,-0.9298,-0.5122,-2.0275,-1.8879,-1.8004,0.0357,-1.4633,-1.0608,-2.8343,0.3167,-1.9782,-1.4198,-0.066,-1.3043,-3.9177,0.0449,-3.199,-0.0668,-1.8794,0.1462,-0.2703,-1.0235,-1.325,-1.4126,-1.5666,-1.8542,-0.6878,-0.5075,-1.3893,-1.1996,-0.9146,-1.1599,-1.3934,0.5147,-1.8342,-2.9522,-1.5268,-1.0991,-2.4352,-2.5172,-1.8143,-0.5371,-2.0379
5,-0.148,-1.0595,-2.1516,-2.6654,-0.0694,-0.8209,-0.4203,-0.2788,-0.8828,-2.123,-2.3926,-1.6201,-1.9844,0.158,0.2717,-0.8969,0.0159,-0.1225,-0.4112,-1.2829,0.2136,-2.4796,-1.6288,0.1162,-2.6497,-0.3948,-2.0752,-2.0681,-2.0495,0.0821,-0.7232,-0.8851,-1.1191,0.2933,-1.4327,-2.0504,-0.7137,-0.8722,-1.9349,0.0508,-2.5155,0.2937,-0.7525,0.3993,-0.6551,-1.4146,-2.1579,-2.5236,-1.5768,-1.7783,-0.239,-1.3799,-1.6386,-1.9743,0.6024,-0.8315,-1.3454,0.4187,-0.5331,-2.0686,-2.2083,-0.3315,-2.5601,-1.5872,-1.581,-0.2387,-0.3322
6,-0.5999,-1.1515,-1.9252,-3.9254,1.3093,-2.5646,-1.7982,-1.7042,-2.5832,-1.6639,-3.8813,-2.2257,-2.8562,-1.62,-1.1946,-1.5138,-0.6333,-0.5487,-2.2442,-1.4889,-1.4167,-2.0863,-2.1201,-0.6472,-1.4612,-0.8846,-2.1425,-2.0825,-2.2746,0.3508,-1.6887,-1.3811,-2.7953,-0.0481,-2.7835,-0.9012,-0.0346,-1.5565,-3.0283,-0.1395,-2.6845,0.2409,-1.3045,-0.0532,-0.3644,-0.495,-2.3108,-1.3959,-1.0497,-2.0779,-0.3384,-0.6155,-1.6321,-1.9752,-0.1638,-0.6269,-1.5276,0.574,-1.5658,-1.7098,-1.5981,-1.2689,-2.2755,-1.7639,-2.5322,-0.9615,-0.0394
7,-0.1516,-1.6573,-2.3376,-4.3395,-0.3254,-1.4428,-1.6796,0.8066,-0.1816,-2.0049,1.3528,0.08,-1.4595,-0.7732,-0.1582,-0.15,-0.6058,0.209,2.6966,-1.4805,-0.8177,-3.9927,-1.167,2.0685,0.2557,-0.5802,-3.1534,-2.8211,0.1712,-0.2506,0.7795,2.121,-0.5481,0.1499,-0.179,-1.2778,-0.4466,-0.7946,0.451,0.0849,-0.6696,0.4367,0.4164,0.9683,-0.1198,-1.349,-0.8592,-0.9788,-2.9601,-1.1097,-0.4673,0.2629,-1.728,-1.8262,0.1015,-0.6984,-1.8633,-0.016,0.2298,-2.3963,-2.7922,-0.6132,-0.9627,-0.353,-0.4744,-0.2579,-1.6884
8,-0.9853,-1.6348,-1.3186,-4.0168,-0.243,-2.6843,1.7329,2.6024,-1.9959,-1.2431,1.5739,0.4457,-2.0256,-1.1913,-1.2557,1.1127,-0.3567,-0.3139,0.9551,-1.9629,0.3267,-2.0964,-1.7554,0.2363,-1.3159,-0.2454,-0.0308,-1.3413,-1.2568,-0.0938,0.6759,-1.7817,-2.1515,-0.0784,0.1275,-0.8973,-0.1732,-0.6264,0.2221,0.2853,0.9422,0.2294,-0.6517,0.0049,3.0198,1.3676,-1.3117,-0.8839,-1.077,-1.2873,-0.5377,0.1482,-1.506,-2.2117,0.2214,0.7721,-1.0956,-0.3072,-0.5346,-1.557,-2.3062,-0.3038,-1.8446,-0.5185,-1.7937,-1.4873,0.4885
9,-0.8792,-0.3559,-2.9397,-3.9038,-0.4512,-1.8254,-0.9323,-2.5929,-1.5555,-0.8372,-2.7822,-1.9127,-2.1909,0.0404,-1.4665,-1.7983,-0.5187,-0.4098,0.0543,-2.0067,-1.3481,-2.6566,-2.0084,-0.0047,-1.5099,-0.9293,-2.3477,-2.5166,-2.2846,-0.0338,-1.3683,-0.9264,-2.166,0.1467,-1.651,-1.9534,-0.4396,-2.6556,-1.2045,0.6599,-1.3668,0.2102,-1.2424,-0.1503,-0.0593,-1.6537,-1.8434,-0.4551,-1.6567,-1.7712,-0.3601,-0.5338,-1.9087,-2.5027,-1.3271,-1.0424,-1.299,-0.0953,-1.4281,-3.8533,-1.9228,-0.7026,-3.0515,-1.8819,-0.9956,-1.2824,-2.634
