,A1E959,O60542,O60635,O95256,O95750,O95994,P00750,P01591,P05231,P08833,P09466,P14136,P14780,P15336,P16860,P19429,P19801,P21246,P43629,P51531,P55259,P60568,Q29980_Q29983,Q5JZY3,Q8IU54,Q8N2G4,Q92832,Q96JP9,Q9NRD8,Q9P0M4,Q9Y265,Q9Y653,Class Label
0,-0.4919,-2.3989,-0.5249,-0.4072,-1.8775,-2.3982,-1.6927,-1.0015,-0.4884,-2.517,1.2172,-0.7651,-0.7843,-0.3825,-1.7308,-4.1338,-1.7536,-1.8036,-2.1941,-1.062,-1.9518,-0.9865,-1.8085,-1.9878,0.7865,-0.8093,-2.8722,-1.4141,-0.9453,-1.8066,-0.4519,-2.686,0
1,-0.4128,-4.1774,-0.466,-0.5683,-1.7997,-0.728,-1.8249,-1.6932,0.1802,-3.0414,4.7687,-1.6108,-0.4786,-0.1925,-1.6194,-2.6296,-1.8696,-0.4288,-2.5694,-0.8913,-1.5554,0.2886,-4.8574,-1.8919,0.5258,-0.5226,-1.4235,-1.5057,-0.7816,-2.127,-0.7833,-2.9263,0
2,-0.1184,-3.3796,-0.6516,-1.7761,-1.1294,-2.6542,-0.6092,-2.5039,0.0125,-3.6948,-0.2782,-0.977,0.912,0.1472,-1.7974,-2.6118,-1.9534,-0.5832,-3.1799,0.1187,-2.0926,0.2656,-5.1423,-1.7727,1.9631,-0.3518,-2.0239,-1.7772,-1.2485,-0.6538,-1.3636,-2.2744,0
3,2.3431,-1.9756,-0.5478,-2.0295,-2.7763,2.0099,-1.4468,-2.017,-0.0882,-3.0438,-0.7373,-1.1503,0.1952,1.6867,-1.2428,-4.136,-1.9406,-0.9649,-1.6098,0.1937,-1.4699,-0.3291,-2.9261,-0.3754,5.3879,0.6437,-1.1868,-2.0033,-0.9619,-2.604,-1.4173,-1.5901,0
4,-0.4058,-3.9119,-0.3659,-1.7757,-2.9436,-2.9613,-3.2922,-1.3091,0.8896,-4.8105,2.7892,-1.1478,-0.039,-0.5107,-1.1755,-2.7267,-1.0957,-1.9875,-1.8004,0.0357,-1.0608,-0.1237,-1.3043,-1.9543,-0.2703,-0.0658,-2.1429,-1.3893,-1.003,-1.8342,-0.7161,-2.0379,0
5,-0.148,-0.9216,-0.0694,-1.3198,-0.8209,-0.4203,-1.8693,-0.8828,0.6632,-4.5607,0.0318,0.158,0.9571,0.0159,3.1622,-2.6296,-1.2829,0.2136,-2.0495,0.0821,-0.8851,0.1021,-0.8722,-1.9735,-0.6551,-0.1775,-2.8913,-1.6386,-0.7441,-0.5331,-0.9765,-0.3322,0
6,-0.5999,-3.1805,1.3093,-2.8579,-2.5646,-1.7982,-1.8025,-2.5832,0.7364,-3.2461,0.1633,-1.62,-0.5757,-0.6333,-0.3064,-2.9143,-1.4889,-1.4167,-2.2746,0.3508,-1.3811,-0.4945,-1.5565,-1.8598,-0.3644,-0.0665,-2.3927,-1.6321,0.2131,-1.5658,-0.9951,-0.0394,0
7,-0.1516,-3.1243,-0.3254,0.4263,-1.4428,-1.6796,1.0295,-0.1816,1.7756,2.4906,3.9626,-0.7732,-0.2868,-0.6058,0.3272,-2.8797,-1.4805,-0.8177,0.1712,-0.2506,2.121,0.2747,-0.7946,-1.4125,-0.1198,-0.096,-2.0468,-1.728,-0.2332,0.2298,0.5386,-1.6884,0
8,-0.9853,-1.8941,-0.243,-0.9422,-2.6843,1.7329,-0.3431,-1.9959,1.7833,0.2895,-0.4529,-1.1913,-2.1009,-0.3567,-0.6204,1.4871,-1.9629,0.3267,-1.2568,-0.0938,-1.7817,-0.1978,-0.6264,-2.5302,3.0198,-0.1769,-2.2068,-1.506,-1.0609,-0.5346,-0.5338,0.4885,0
9,-0.8792,-3.9202,-0.4512,-1.1126,-1.8254,-0.9323,-2.5345,-1.5555,1.8119,-0.7683,-0.1903,0.0404,-0.8116,-0.5187,2.1925,-2.7639,-2.0067,-1.3481,-2.2846,-0.0338,-0.9264,0.3521,-2.6556,-2.1519,-0.0593,-0.186,-2.4129,-1.9087,-0.8245,-1.4281,-0.4382,-2.634,0
