,A1E959,O14788,O60542,O60635,O95256,O95379,O95750,O95994,P01583,P05231,P06850,P08833,P09466,P14136,P14780,P15336,P16860,P19429,P19801,P21246,P30838,P34998,P36222,P43629,P51531,P55259,P58546,P60568,P68106,Q04759,Q12968,Q13231,Q15067,Q16552,Q29980_Q29983,Q5JZY3,Q8IU54,Q8IW75,Q8N2G4,Q8TDL5,Q8WTU2,Q92832,Q96JP9,Q9NRD8,Q9P0M4,Q9Y265,Q9Y5K2,Q9Y653
0,-0.4919,-1.2216,-2.3989,-0.5249,-0.4072,0.1107,-1.8775,-2.3982,0.2123,-0.4884,-2.1222,-2.517,1.2172,-0.7651,-0.7843,-0.3825,-1.7308,-4.1338,-1.7536,-1.8036,-0.5737,-0.5035,-0.9778,-2.1941,-1.062,-1.9518,-0.0922,-0.9865,0.3225,-0.1648,-0.7857,-3.2216,-0.2479,-0.5077,-1.8085,-1.9878,0.7865,-1.0503,-0.8093,-2.268,0.778,-2.8722,-1.4141,-0.9453,-1.8066,-0.4519,-1.6577,-2.686
1,-0.4128,-3.2104,-4.1774,-0.466,-0.5683,-0.2182,-1.7997,-0.728,-0.2743,0.1802,-1.561,-3.0414,4.7687,-1.6108,-0.4786,-0.1925,-1.6194,-2.6296,-1.8696,-0.4288,0.3584,-0.4701,-2.0042,-2.5694,-0.8913,-1.5554,0.226,0.2886,0.0438,-0.3654,-0.7468,-3.9589,0.2576,-0.7859,-4.8574,-1.8919,0.5258,-1.1075,-0.5226,-0.8771,-3.4711,-1.4235,-1.5057,-0.7816,-2.127,-0.7833,-1.2654,-2.9263
2,-0.1184,-3.1843,-3.3796,-0.6516,-1.7761,0.3685,-1.1294,-2.6542,-0.5102,0.0125,-2.3869,-3.6948,-0.2782,-0.977,0.912,0.1472,-1.7974,-2.6118,-1.9534,-0.5832,0.2885,-0.0304,0.1652,-3.1799,0.1187,-2.0926,0.0347,0.2656,0.3332,0.1596,-1.5836,-2.6652,0.2385,-0.5969,-5.1423,-1.7727,1.9631,-0.5681,-0.3518,-2.279,-0.7887,-2.0239,-1.7772,-1.2485,-0.6538,-1.3636,-0.9322,-2.2744
3,2.3431,-3.5635,-1.9756,-0.5478,-2.0295,0.0443,-2.7763,2.0099,0.3225,-0.0882,-1.4717,-3.0438,-0.7373,-1.1503,0.1952,1.6867,-1.2428,-4.136,-1.9406,-0.9649,-0.8616,-0.175,-0.9206,-1.6098,0.1937,-1.4699,0.2516,-0.3291,-0.1356,-0.5898,-1.0155,-1.001,-0.1697,-0.8073,-2.9261,-0.3754,5.3879,-1.6974,0.6437,-1.4536,-1.5745,-1.1868,-2.0033,-0.9619,-2.604,-1.4173,-1.9562,-1.5901
4,-0.4058,-1.9149,-3.9119,-0.3659,-1.7757,-0.0161,-2.9436,-2.9613,0.5322,0.8896,-2.4259,-4.8105,2.7892,-1.1478,-0.039,-0.5107,-1.1755,-2.7267,-1.0957,-1.9875,-0.6478,-0.7984,-1.8785,-1.8004,0.0357,-1.0608,-0.1076,-0.1237,0.2021,-0.1999,-1.1551,-2.5228,0.0125,-0.9961,-1.3043,-1.9543,-0.2703,-1.2362,-0.0658,-2.246,-4.8056,-2.1429,-1.3893,-1.003,-1.8342,-0.7161,-1.8652,-2.0379
5,-0.148,-2.0832,-0.9216,-0.0694,-1.3198,-0.5448,-0.8209,-0.4203,0.3224,0.6632,-2.0265,-4.5607,0.0318,0.158,0.9571,0.0159,3.1622,-2.6296,-1.2829,0.2136,0.1162,-0.2948,2.3736,-2.0495,0.0821,-0.8851,0.3408,0.1021,0.0616,0.2932,-1.0121,0.0103,-0.2808,-0.4244,-0.8722,-1.9735,-0.6551,-1.3183,-0.1775,-1.3057,-4.044,-2.8913,-1.6386,-0.7441,-0.5331,-0.9765,0.2014,-0.3322
6,-0.5999,-2.4378,-3.1805,1.3093,-2.8579,-0.1163,-2.5646,-1.7982,0.5486,0.7364,-2.3435,-3.2461,0.1633,-1.62,-0.5757,-0.6333,-0.3064,-2.9143,-1.4889,-1.4167,-0.6472,-0.4375,-0.4006,-2.2746,0.3508,-1.3811,0.4049,-0.4945,-0.1744,-0.1528,-1.2171,-2.4853,-0.4848,-0.4682,-1.5565,-1.8598,-0.3644,-0.0849,-0.0665,-3.6042,0.0542,-2.3927,-1.6321,0.2131,-1.5658,-0.9951,0.1976,-0.0394
7,-0.1516,-1.5589,-3.1243,-0.3254,0.4263,0.0042,-1.4428,-1.6796,-0.5768,1.7756,-3.9374,2.4906,3.9626,-0.7732,-0.2868,-0.6058,0.3272,-2.8797,-1.4805,-0.8177,2.0685,0.0093,-0.2888,0.1712,-0.2506,2.121,0.3028,0.2747,0.132,0.0869,-1.0162,-3.3571,-0.2988,0.2653,-0.7946,-1.4125,-0.1198,1.2282,-0.096,-2.7291,-4.4217,-2.0468,-1.728,-0.2332,0.2298,0.5386,0.5558,-1.6884
8,-0.9853,-1.9441,-1.8941,-0.243,-0.9422,-0.1072,-2.6843,1.7329,-0.1082,1.7833,-2.4041,0.2895,-0.4529,-1.1913,-2.1009,-0.3567,-0.6204,1.4871,-1.9629,0.3267,0.2363,0.2917,-0.7416,-1.2568,-0.0938,-1.7817,0.1892,-0.1978,0.3202,0.0255,-0.6025,-2.7088,-0.4003,-0.7226,-0.6264,-2.5302,3.0198,-1.957,-0.1769,-2.5409,-3.474,-2.2068,-1.506,-1.0609,-0.5346,-0.5338,0.1001,0.4885
9,-0.8792,-2.156,-3.9202,-0.4512,-1.1126,-0.323,-1.8254,-0.9323,-0.6707,1.8119,-0.9948,-0.7683,-0.1903,0.0404,-0.8116,-0.5187,2.1925,-2.7639,-2.0067,-1.3481,-0.0047,-0.1025,-0.4954,-2.2846,-0.0338,-0.9264,0.0043,0.3521,-0.0626,0.0471,-0.9125,-0.5018,0.1444,-0.2078,-2.6556,-2.1519,-0.0593,-1.256,-0.186,-0.4729,-5.1933,-2.4129,-1.9087,-0.8245,-1.4281,-0.4382,-1.241,-2.634
