,P07585,P52823,Q9P0M4,Q9UGM5,Q9Y653,Class Label
0,-2.8297,-1.5906,-1.8066,-1.9304,-2.686,0
1,-2.1921,0.129,-2.127,-1.92,-2.9263,0
2,-1.8498,0.2898,-0.6538,-1.2569,-2.2744,0
3,-2.1312,0.7255,-2.604,-1.5945,-1.5901,0
4,-2.2969,-1.4633,-1.8342,-1.5268,-2.0379,0
5,-0.5664,-0.7232,-0.5331,-2.2083,-0.3322,0
6,-2.6399,-1.6887,-1.5658,-1.5981,-0.0394,0
7,-1.5108,0.7795,0.2298,-2.7922,-1.6884,0
8,-1.102,0.6759,-0.5346,-2.3062,0.4885,0
9,-1.9825,-1.3683,-1.4281,-1.9228,-2.634,0
10,-3.2476,-1.821,-2.0576,-2.7505,-2.3418,0
11,-1.1246,-1.503,-1.2532,-1.7782,-0.3552,0
12,-1.6282,-0.1548,-0.2798,-1.6966,0.811,0
13,-1.5713,-1.1618,-1.1169,-1.4758,-1.2235,0
14,-1.4895,-1.2996,-0.8708,-2.294,0.7409,0
15,-1.3794,-0.3299,-0.7308,-1.9992,0.3453,0
16,-0.9838,-0.0348,0.2867,-1.7147,0.7563,0
17,-0.3317,-0.2383,1.6519,-3.537,-0.4875,0
18,-2.1057,-1.1442,-1.2732,-1.3658,-2.3941,0
19,-2.4795,-0.5193,-0.9941,-2.2689,-2.5527,0
20,-1.5091,0.0619,-0.8581,-2.2945,-1.3806,0
21,-2.3644,0.1803,-1.4254,-2.2309,-1.4878,0
22,-2.3466,-1.6136,-0.2189,-3.1239,-2.624,0
23,0.0937,0.6345,0.0949,-1.8209,0.92,0
24,-1.7024,-1.5525,-1.7853,-2.3518,-2.2089,0
25,-1.5109,-0.7555,-0.8594,-1.6232,-0.3697,0
26,-1.5737,-0.647,-1.771,-1.8909,-1.9856,0
27,-2.6665,-2.0554,-2.1403,-2.2597,-2.6657,0
28,-1.4197,-0.3761,-0.4286,-2.7923,0.724,0
29,-2.0886,-0.1605,-1.2526,-0.6083,-1.4142,0
30,-2.2409,-1.7484,-0.4277,-1.3575,-0.9516,0
31,-1.5405,-0.0687,-0.7159,-1.7117,-2.3992,0
32,-2.3771,-1.0272,0.4643,-1.9594,-2.6264,0
33,1.1527,2.3746,3.5425,-3.5332,-0.1208,0
34,-0.4917,0.2761,-0.7792,-1.8723,-0.1469,0
35,-2.5431,-0.1039,-1.1333,-1.8387,-2.6336,0
36,-1.2278,0.7707,-1.4618,-2.6427,2.2021,0
37,-2.7471,-1.5643,-2.3139,-1.9878,-2.5304,0
38,-2.1643,-1.5174,-1.0883,-0.6412,-2.0457,0
39,-0.2834,-0.3686,-0.5944,-2.253,1.239,0
40,-1.377,0.3586,-0.7155,-2.6021,2.2478,0
41,-0.6947,0.4423,-0.7795,-1.4584,-1.1646,0
42,-1.878,-0.541,-0.3355,-2.3588,-2.3599,0
43,-2.1022,-0.9577,-0.5911,-2.7195,0.6887,0
44,-2.1164,-0.731,-1.9261,-2.7643,-0.7227,0
45,-1.9789,-0.4975,-2.1152,-1.2553,-1.7442,0
46,-2.2829,-1.5182,-0.1163,-1.7617,-2.1267,0
47,-2.0479,-0.6145,-1.2834,-2.0986,-2.9592,0
48,-1.5568,-0.3974,0.6121,-2.2324,-1.479,0
49,-1.7423,-0.674,-1.16,-1.9805,-1.4837,0
50,-1.286,0.3826,-1.0105,-2.3245,-0.1552,0
51,-2.1074,-0.7021,-2.2708,-2.8923,-2.0301,0
52,-2.5379,-1.816,-1.6901,-0.4865,-2.5655,0
53,-2.6332,-0.4169,-0.6921,-2.3085,-1.9468,0
54,-1.2633,-0.0883,-1.114,-2.3615,-0.226,0
55,-2.4329,0.3499,-2.0408,-2.261,-2.0838,0
56,-0.6498,-0.7558,-1.7687,-1.4612,-0.858,0
57,-0.2032,0.0552,-0.9122,-2.4749,2.2999,0
58,-2.0416,0.2167,-1.6394,-2.1018,-2.4561,0
59,-1.4352,-0.9835,-1.3007,-3.2209,0.8109,0
60,-1.4506,2.7774,2.9217,-2.4882,-1.7414,0
61,0.3713,3.9282,0.7957,-3.395,1.3266,0
62,-2.5472,-1.1544,-2.1539,-1.7271,-2.8154,0
63,-1.6951,-0.4205,-1.2131,-1.998,-2.605,0
64,-0.6268,-0.7384,0.3532,-2.2415,-1.104,0
65,-2.0779,-0.1573,-1.3861,-2.2709,-1.5809,0
