,O60635,P07585,P08727,P14136,P18627,P24387,P52823,P55259,Q969V3,Q9NZV1,Q9P0M4,Q9UGM5,Q9Y653,Class Label
0,-0.5249,-2.8297,-1.8014,-0.7651,-1.101,-3.1045,-1.5906,-1.9518,-0.3807,-2.2031,-1.8066,-1.9304,-2.686,0
1,-0.466,-2.1921,-1.6734,-1.6108,-0.4854,-2.9702,0.129,-1.5554,-0.1009,-2.0296,-2.127,-1.92,-2.9263,0
2,-0.6516,-1.8498,-0.8894,-0.977,0.3179,-2.1134,0.2898,-2.0926,-0.5797,-0.5615,-0.6538,-1.2569,-2.2744,0
3,-0.5478,-2.1312,0.6776,-1.1503,-0.8096,-2.3749,0.7255,-1.4699,-0.5835,-1.1429,-2.604,-1.5945,-1.5901,0
4,-0.3659,-2.2969,-2.5475,-1.1478,-1.7919,-2.7755,-1.4633,-1.0608,-0.6878,-1.9053,-1.8342,-1.5268,-2.0379,0
5,-0.0694,-0.5664,-1.3331,0.158,-0.4112,-2.4796,-0.7232,-0.8851,-0.239,-0.8582,-0.5331,-2.2083,-0.3322,0
6,1.3093,-2.6399,-1.9356,-1.62,-2.2442,-2.0863,-1.6887,-1.3811,-0.3384,-1.8974,-1.5658,-1.5981,-0.0394,0
7,-0.3254,-1.5108,0.712,-0.7732,2.6966,-3.9927,0.7795,2.121,-0.4673,0.2688,0.2298,-2.7922,-1.6884,0
8,-0.243,-1.102,1.8979,-1.1913,0.9551,-2.0964,0.6759,-1.7817,-0.5377,-0.3096,-0.5346,-2.3062,0.4885,0
9,-0.4512,-1.9825,-1.4018,0.0404,0.0543,-2.6566,-1.3683,-0.9264,-0.3601,-1.2251,-1.4281,-1.9228,-2.634,0
10,-0.5319,-3.2476,-2.2409,-0.6708,-0.9891,-2.7896,-1.821,-0.7049,-0.3941,-2.0154,-2.0576,-2.7505,-2.3418,0
11,0.4001,-1.1246,-0.9515,-0.898,0.4226,-1.8153,-1.503,-0.0926,0.7419,-0.8546,-1.2532,-1.7782,-0.3552,0
12,-0.5338,-1.6282,-0.9688,0.7451,-0.6937,-1.5223,-0.1548,0.5265,-0.533,-0.383,-0.2798,-1.6966,0.811,0
13,-0.154,-1.5713,-0.9121,-0.4953,-0.7865,-1.9342,-1.1618,-1.9932,-0.2598,-1.5993,-1.1169,-1.4758,-1.2235,0
14,-0.6865,-1.4895,-0.9237,-0.5176,0.4775,-2.7414,-1.2996,-2.0117,-0.0188,-1.6179,-0.8708,-2.294,0.7409,0
15,-0.5761,-1.3794,-0.8406,0.126,-0.6899,-2.6206,-0.3299,-0.819,-0.1196,-0.4807,-0.7308,-1.9992,0.3453,0
16,-0.3698,-0.9838,1.2164,0.381,1.096,-2.3579,-0.0348,-0.2763,-0.2804,-0.6678,0.2867,-1.7147,0.7563,0
17,-0.3803,-0.3317,-0.0818,0.0492,0.0426,-1.6185,-0.2383,-0.431,-0.4613,-0.5142,1.6519,-3.537,-0.4875,0
18,-0.5298,-2.1057,-0.1718,-1.2867,-0.2468,-2.3311,-1.1442,0.1909,-0.5852,-1.5082,-1.2732,-1.3658,-2.3941,0
19,0.0557,-2.4795,-2.136,-1.6155,-1.5527,-2.2009,-0.5193,-2.35,-0.8803,-2.113,-0.9941,-2.2689,-2.5527,0
20,-0.5123,-1.5091,2.7585,-1.5578,0.9474,-2.3334,0.0619,-1.8753,-0.7876,-0.3486,-0.8581,-2.2945,-1.3806,0
21,-0.7125,-2.3644,0.5294,-1.1081,0.659,-2.0414,0.1803,-2.3148,-1.1222,-1.5005,-1.4254,-2.2309,-1.4878,0
22,-0.3379,-2.3466,-1.6883,-1.0901,-1.3058,-2.0465,-1.6136,-2.3094,-0.6509,-2.0192,-0.2189,-3.1239,-2.624,0
23,-0.4488,0.0937,0.4,0.6488,1.1594,-1.9107,0.6345,-1.4042,-0.4412,-0.2415,0.0949,-1.8209,0.92,0
24,-0.5921,-1.7024,-1.6008,-1.3862,-0.1645,-2.6473,-1.5525,-1.6687,-0.3666,-1.3362,-1.7853,-2.3518,-2.2089,0
25,-0.4203,-1.5109,0.3835,0.6477,-0.3905,-2.6111,-0.7555,-1.3765,-0.2291,-0.9371,-0.8594,-1.6232,-0.3697,0
26,-0.4407,-1.5737,-0.6728,-1.3534,0.0791,-2.0036,-0.647,-1.5292,-0.8271,-1.4181,-1.771,-1.8909,-1.9856,0
27,-0.5005,-2.6665,-1.0028,-0.9432,-1.7387,-3.0238,-2.0554,-1.1191,-0.524,-1.975,-2.1403,-2.2597,-2.6657,0
