,O14793,O60635,P07585,P08727,P14136,P18627,P24387,P52823,P55259,Q92820,Q969V3,Q96NZ8,Q99748,Q9NZV1,Q9P0M4,Q9UGM5,Q9Y653,Class Label
0,-2.5061,-0.5249,-2.8297,-1.8014,-0.7651,-1.101,-3.1045,-1.5906,-1.9518,-1.7076,-0.3807,-2.2164,0.042,-2.2031,-1.8066,-1.9304,-2.686,0
1,-2.1944,-0.466,-2.1921,-1.6734,-1.6108,-0.4854,-2.9702,0.129,-1.5554,-0.9491,-0.1009,-1.5408,0.2893,-2.0296,-2.127,-1.92,-2.9263,0
2,-1.5425,-0.6516,-1.8498,-0.8894,-0.977,0.3179,-2.1134,0.2898,-2.0926,-0.9651,-0.5797,-2.1449,-0.5844,-0.5615,-0.6538,-1.2569,-2.2744,0
3,-1.1607,-0.5478,-2.1312,0.6776,-1.1503,-0.8096,-2.3749,0.7255,-1.4699,-1.0308,-0.5835,-2.298,-0.4232,-1.1429,-2.604,-1.5945,-1.5901,0
4,-2.1913,-0.3659,-2.2969,-2.5475,-1.1478,-1.7919,-2.7755,-1.4633,-1.0608,-1.5666,-0.6878,-1.1996,-0.9146,-1.9053,-1.8342,-1.5268,-2.0379,0
5,-2.1516,-0.0694,-0.5664,-1.3331,0.158,-0.4112,-2.4796,-0.7232,-0.8851,-1.5768,-0.239,-1.9743,0.6024,-0.8582,-0.5331,-2.2083,-0.3322,0
6,-1.9252,1.3093,-2.6399,-1.9356,-1.62,-2.2442,-2.0863,-1.6887,-1.3811,-1.0497,-0.3384,-1.9752,-0.1638,-1.8974,-1.5658,-1.5981,-0.0394,0
7,-2.3376,-0.3254,-1.5108,0.712,-0.7732,2.6966,-3.9927,0.7795,2.121,-2.9601,-0.4673,-1.8262,0.1015,0.2688,0.2298,-2.7922,-1.6884,0
8,-1.3186,-0.243,-1.102,1.8979,-1.1913,0.9551,-2.0964,0.6759,-1.7817,-1.077,-0.5377,-2.2117,0.2214,-0.3096,-0.5346,-2.3062,0.4885,0
9,-2.9397,-0.4512,-1.9825,-1.4018,0.0404,0.0543,-2.6566,-1.3683,-0.9264,-1.6567,-0.3601,-2.5027,-1.3271,-1.2251,-1.4281,-1.9228,-2.634,0
10,-2.746,-0.5319,-3.2476,-2.2409,-0.6708,-0.9891,-2.7896,-1.821,-0.7049,-2.3543,-0.3941,-1.492,-0.417,-2.0154,-2.0576,-2.7505,-2.3418,0
